	smiles	name	stand_name
181	O=C(O)C1=CN=C(CO)C(C)=C1		B181
182	O=C(O)C1=CN=C(CO)C=C1(C)		B182
183	O=C(O)C1=C(C)N=CC(CO)=C1		B183
184	O=C(O)C1=CN=C(C)C(CO)=C1		B184
185	O=C(O)C1=CN=CC(CO)=C1(C)		B185
186	O=C(O)C1=C(C)N=CC=C1(CO)		B186
187	O=C(O)C1=CN=C(C)C=C1(CO)		B187
188	O=C(O)C1=CN=CC(C)=C1(CO)		B188
189	O=C(O)C1=C(CO)N=C(OC)C=C1		B189
190	O=C(O)C1=C(CO)N=CC(OC)=C1		B190
191	O=C(O)C1=C(CO)N=CC=C1(OC)		B191
192	O=C(O)C1=C(OC)N=C(CO)C=C1		B192
193	O=C(O)C1=CN=C(CO)C(OC)=C1		B193
194	O=C(O)C1=CN=C(CO)C=C1(OC)		B194
195	O=C(O)C1=C(OC)N=CC(CO)=C1		B195
196	O=C(O)C1=CN=C(OC)C(CO)=C1		B196
197	O=C(O)C1=CN=CC(CO)=C1(OC)		B197
198	O=C(O)C1=C(OC)N=CC=C1(CO)		B198
199	O=C(O)C1=CN=C(OC)C=C1(CO)		B199
200	O=C(O)C1=CN=CC(OC)=C1(CO)		B200
201	O=C(O)C1=C(CO)N=C(F)C=C1		B201
202	O=C(O)C1=C(CO)N=CC(F)=C1		B202
203	O=C(O)C1=C(CO)N=CC=C1(F)		B203
204	O=C(O)C1=C(F)N=C(CO)C=C1		B204
205	O=C(O)C1=CN=C(CO)C(F)=C1		B205
206	O=C(O)C1=CN=C(CO)C=C1(F)		B206
207	O=C(O)C1=C(F)N=CC(CO)=C1		B207
208	O=C(O)C1=CN=C(F)C(CO)=C1		B208
209	O=C(O)C1=CN=CC(CO)=C1(F)		B209
210	O=C(O)C1=C(F)N=CC=C1(CO)		B210
211	O=C(O)C1=CN=C(F)C=C1(CO)		B211
212	O=C(O)C1=CN=CC(F)=C1(CO)		B212
213	O=C(O)C1=C(CO)N=C(O)C=C1		B213
214	O=C(O)C1=C(CO)N=CC(O)=C1		B214
215	O=C(O)C1=C(CO)N=CC=C1(O)		B215
216	O=C(O)C1=C(O)N=C(CO)C=C1		B216
217	O=C(O)C1=CN=C(CO)C(O)=C1		B217
218	O=C(O)C1=CN=C(CO)C=C1(O)		B218
219	O=C(O)C1=C(O)N=CC(CO)=C1		B219
220	O=C(O)C1=CN=C(O)C(CO)=C1		B220
221	O=C(O)C1=CN=CC(CO)=C1(O)		B221
222	O=C(O)C1=C(O)N=CC=C1(CO)		B222
223	O=C(O)C1=CN=C(O)C=C1(CO)		B223
224	O=C(O)C1=CN=CC(O)=C1(CO)		B224
225	O=C(O)C1=C(CO)C(CO)=CC=N1		B225
226	O=C(O)C1=C(CO)C=C(CO)C=N1		B226
227	O=C(O)C1=C(CO)C=CC(CO)=N1		B227
228	O=C(O)C1=CC(CO)=C(CO)C=N1		B228
229	O=C(O)C1=CC(CO)=CC(CO)=N1		B229
230	O=C(O)C1=CC=C(CO)C(CO)=N1		B230
231	O=C(O)C1=C(CO)C(C)=CC=N1		B231
232	O=C(O)C1=C(CO)C=C(C)C=N1		B232
233	O=C(O)C1=C(CO)C=CC(C)=N1		B233
234	O=C(O)C1=C(C)C(CO)=CC=N1		B234
235	O=C(O)C1=CC(CO)=C(C)C=N1		B235
236	O=C(O)C1=CC(CO)=CC(C)=N1		B236
237	O=C(O)C1=C(C)C=C(CO)C=N1		B237
238	O=C(O)C1=CC(C)=C(CO)C=N1		B238
239	O=C(O)C1=CC=C(CO)C(C)=N1		B239
240	O=C(O)C1=C(C)C=CC(CO)=N1		B240
241	O=C(O)C1=CC(C)=CC(CO)=N1		B241
242	O=C(O)C1=CC=C(C)C(CO)=N1		B242
243	O=C(O)C1=C(CO)C(OC)=CC=N1		B243
244	O=C(O)C1=C(CO)C=C(OC)C=N1		B244
